0x3cb4,"I've cleared the previous game multiple times,
so bring on the action!
","I've cleared the previous game multiple times,
so bring on the action!
"
0x3cfc,"I managed to clear the previous game,
but action isn't my strong point!
","I managed to clear the previous game,
but action isn't my strong point!
"
0x3d45,"I didn't clear the previous game myself,
but I watched everything!
","I didn't clear the previous game myself,
but I watched everything!
"
0x3d89,"I didn't clear the previous game
and action isn't my strong point!
","I didn't clear the previous game
and action isn't my strong point!
"
0x3dcd,"I didn't clear the previous game,
but bring on the action!
","I didn't clear the previous game,
but bring on the action!
"
0x3e09,"J'ai remporté le jeu précédent à maintes
reprises, allez-y !
","J'ai remporté le jeu précédent à maintes
reprises, allez-y !
"
0x3e4b,"J'ai réussi à remporter le jeu précédent, mais
l'action n'est pas mon fort !
","J'ai réussi à remporter le jeu précédent, mais
l'action n'est pas mon fort !
"
0x3e9d,"Je n'ai pas remporté le jeu précédent moi-même,
mais je l'ai vu faire !
","Je n'ai pas remporté le jeu précédent moi-même,
mais je l'ai vu faire !
"
0x3eea,"Je n'ai pas remporté le jeu précédent et l'action
n'est pas mon fort !
","Je n'ai pas remporté le jeu précédent et l'action
n'est pas mon fort !
"
0x3f35,"Je n'ai pas remporté le jeu précédent, mais
allez-y !
","Je n'ai pas remporté le jeu précédent, mais
allez-y !
"
0x3f6f,"Ich habe das letzte Spiel mehrmals beendet - her
mit der Action!
","Ich habe das letzte Spiel mehrmals beendet - her
mit der Action!
"
0x3fb1,"Ich habe das letzte Spiel beendet, aber Action ist
nicht mein Forte!
","Ich habe das letzte Spiel beendet, aber Action ist
nicht mein Forte!
"
0x3ff7,"Ich habe das letzte Spiel nicht selbst beendet,
aber zugeschaut!
","Ich habe das letzte Spiel nicht selbst beendet,
aber zugeschaut!
"
0x4039,"Ich habe das letzte Spiel nicht beendet, und Action
ist nicht mein Forte!
","Ich habe das letzte Spiel nicht beendet, und Action
ist nicht mein Forte!
"
0x4084,"Ich habe das letzte Spiel nicht beendet, aber her
mit der Action!
","Ich habe das letzte Spiel nicht beendet, aber her
mit der Action!
"
0x40c7,"Ho superato parecchie volte l'ultimo gioco, ora
voglio un po' di azione!
","Ho superato parecchie volte l'ultimo gioco, ora
voglio un po' di azione!
"
0x4111,"Sono riuscito a superare l'ultimo gioco ma l'azione
non è il mio forte!
","Sono riuscito a superare l'ultimo gioco ma l'azione
non è il mio forte!
"
0x415b,"Non ho superato io l'ultimo gioco, ma ho visto
tutto!
","Non ho superato io l'ultimo gioco, ma ho visto
tutto!
"
0x4192,"Non ho superato l'ultimo gioco e l'azione non è
neanche il mio forte!
","Non ho superato l'ultimo gioco e l'azione non è
neanche il mio forte!
"
0x41da,"Non ho superato l'ultimo gioco, ma ora voglio un
po' di azione!
","Non ho superato l'ultimo gioco, ma ora voglio un
po' di azione!
"
0x421b,"He conseguido superar varias veces el último juego,
¡así que más acción!
","He conseguido superar varias veces el último juego,
¡así que más acción!
"
0x426a,"He conseguido superar el último juego, pero la acción
no es mi punto fuerte!
","He conseguido superar el último juego, pero la acción
no es mi punto fuerte!
"
0x42ba,"No he conseguido superar el último juego, ¡pero
lo he visto todo!
","No he conseguido superar el último juego, ¡pero
lo he visto todo!
"
0x42ff,"No he conseguido superar el último juego y ¡la acción
no es precisamente mi punto fuerte!
","No he conseguido superar el último juego y ¡la acción
no es precisamente mi punto fuerte!
"
0x435d,"No he conseguido superar el último juego, ¡pero estoy
preparado para más acción!
","No he conseguido superar el último juego, ¡pero estoy
preparado para más acción!
"
0x43b3,"前作を何度もクリアしたのでアクションは得意！
","前作を何度もクリアしたのでアクションは得意！
"
0x43fd,"前作をなんとかクリアしたがアクションは苦手！
","前作をなんとかクリアしたがアクションは苦手！
"
0x4447,"前作は自力ではクリアしてないが最後まで観た！
","前作は自力ではクリアしてないが最後まで観た！
"
0x448e,"前作はクリアしてないが、アクションは苦手！
","前作はクリアしてないが、アクションは苦手！
"
0x44d8,"前作はクリアしてないが、アクションは得意！
","前作はクリアしてないが、アクションは得意！
"
0x4522,メモリーカード(PS2)が見つかりません,メモリーカード(PS2)が見つかりません
0x4555,メモリーカード(PS2)の空き容量が足りません,メモリーカード(PS2)の空き容量が足りません
0x4591,"新規にデー夕をセーブします|
よろしいですか？","新規にデー夕をセーブします|
よろしいですか？"
0x45d6,"デー夕を上書きセーブします|
よろしいですか？","デー夕を上書きセーブします|
よろしいですか？"
0x461b,"メモリーカード(PS2)はフォーマットされていません|
メモリーカード(PS2)をフォーマットして|
セーブします よろしいですか？","メモリーカード(PS2)はフォーマットされていません|
メモリーカード(PS2)をフォーマットして|
セーブします よろしいですか？"
0x46d3,ファイルのセーブ中,ファイルのセーブ中
0x46f2,フォーマット中,フォーマット中
0x470e,ファイルのセーブが終了しました,ファイルのセーブが終了しました
0x473f,ファイルのセーブ中にエラーが発生しました,ファイルのセーブ中にエラーが発生しました
0x477f,新規にデー夕をセーブします。よろしいですか？,新規にデー夕をセーブします。よろしいですか？
0x47c8,デー夕を上書きセーブします。よろしいですか？,デー夕を上書きセーブします。よろしいですか？
0x4811,フォーマット中にエラーが発生しました,フォーマット中にエラーが発生しました
0x484e,Yes,Yes
0x4852,No,No
0x4855,"コントローラを接続し直し|
START ボ夕ンを押して続けてください","コントローラを接続し直し|
START ボ夕ンを押して続けてください"
0x48ac,MEMORY CARD (PS2) not inserted.,MEMORY CARD (PS2) not inserted.
0x48cc,Insufficient space on the MEMORY CARD (PS2).,Insufficient space on the MEMORY CARD (PS2).
0x48f9,Create new save data. OK?,Create new save data. OK?
0x4913,Overwrite?,Overwrite?
0x491e,"MEMORY CARD (PS2) not formatted.|
Format and save?","MEMORY CARD (PS2) not formatted.|
Format and save?"
0x4951,Saving.,Saving.
0x4959,Formatting.,Formatting.
0x4965,Save completed.,Save completed.
0x4975,Save failed.,Save failed.
0x4982,Create new save data. OK?,Create new save data. OK?
0x499c,Overwrite?,Overwrite?
0x49a7,Format failed.,Format failed.
0x49b6,Yes,Yes
0x49ba,No,No
0x49bd,MEMORY CARD (PS2) non insérée.,MEMORY CARD (PS2) non insérée.
0x49de,Pas assez d'espace sur la MEMORY CARD (PS2).,Pas assez d'espace sur la MEMORY CARD (PS2).
0x4a0b,Créer nouvelles données de sauvegarde. OK?,Créer nouvelles données de sauvegarde. OK?
