0x4fc,,
0x4fd,"Couteau de survie: Pour le
combat rapproché. Appuyez
sur la touche  pour balafrer,
appuyez fermement pour
poignarder. Appuyez de façon
répétée pour faire une attaque
combo.
","Couteau de survie: Pour le
combat rapproché. Appuyez
sur la touche  pour balafrer,
appuyez fermement pour
poignarder. Appuyez de façon
répétée pour faire une attaque
combo.
"
0x5b3,"Fourchette: Appuyez sur la
touche  pour balafrer, appuyez
fermement pour poignarder.
Les animaux et les plantes
capturées de cette façon
peuvent être mangés
immédiatement.
","Fourchette: Appuyez sur la
touche  pour balafrer, appuyez
fermement pour poignarder.
Les animaux et les plantes
capturées de cette façon
peuvent être mangés
immédiatement.
"
0x668,"Vaporisateur en forme de
cigare: Pistolet vaporisateur
ressemblant à une cigarette.
Permet d'endormir les
ennemis. Appuyez sur la
touche  pour le tenir,
relâchez pour vaporiser le gaz.
","Vaporisateur en forme de
cigare: Pistolet vaporisateur
ressemblant à une cigarette.
Permet d'endormir les
ennemis. Appuyez sur la
touche  pour le tenir,
relâchez pour vaporiser le gaz.
"
0x727,"Mouchoir soporifique:
Mouchoir imbibé de somnifère.
Pour endormir les ennemis en
CQC. Libérer le somnifère à
l'aide de la touche Arme.
","Mouchoir soporifique:
Mouchoir imbibé de somnifère.
Pour endormir les ennemis en
CQC. Libérer le somnifère à
l'aide de la touche Arme.
"
0x7b4,"Mk22: Pistolet tranquillisant.
Appuyez sur la touche  pour
viser, relâchez pour tirer.
Fixez/Enlevez le silencieux
a l'aide de la touche .
","Mk22: Pistolet tranquillisant.
Appuyez sur la touche  pour
viser, relâchez pour tirer.
Fixez/Enlevez le silencieux
a l'aide de la touche .
"
0x847,"M1911A1: .45 automatique.
Appuyez sur la touche  pour
viser, relâchez pour tirer.
Fixez/Enlevez le silencieux
a l'aide de la touche .
","M1911A1: .45 automatique.
Appuyez sur la touche  pour
viser, relâchez pour tirer.
Fixez/Enlevez le silencieux
a l'aide de la touche .
"
0x8d5,"EZ GUN: Pistolet tranquillisant
avec silencieux et visée laser
intégrée. Indice de camouflage
& endurance diminuent de
façon moins importante.
","EZ GUN: Pistolet tranquillisant
avec silencieux et visée laser
intégrée. Indice de camouflage
& endurance diminuent de
façon moins importante.
"
0x969,"Single Action Army: Revolver de
calibre .45.Appuyez sur la touche
 pour le lever, relâchez pour
tirer. Visez à l'aide de la touche
, jouez à l'aide du joystick
analogique droit en Obs. à la
1ère pers.
","Single Action Army: Revolver de
calibre .45.Appuyez sur la touche
 pour le lever, relâchez pour
tirer. Visez à l'aide de la touche
, jouez à l'aide du joystick
analogique droit en Obs. à la
1ère pers.
"
0xa3e,"Patriot: Le pistolet d'assaut de
The Boss. Appuyez
légèrement sur la touche 
pour le tenir, fermement pour
tirer. Mécanisme
d'alimentation dans le
chargeur est en forme de ∞.
","Patriot: Le pistolet d'assaut de
The Boss. Appuyez
légèrement sur la touche 
pour le tenir, fermement pour
tirer. Mécanisme
d'alimentation dans le
chargeur est en forme de ∞.
"
0xaf6,"Scorpion: Mitrailleuse de calibre
.32. Appuyez légèrement sur la
touche  pour la tenir, fermement
pour tirer. Basculez du mode
semi-automatique au mode
automatique à l'aide de
la touche  dans la fenêtre.
","Scorpion: Mitrailleuse de calibre
.32. Appuyez légèrement sur la
touche  pour la tenir, fermement
pour tirer. Basculez du mode
semi-automatique au mode
automatique à l'aide de
la touche  dans la fenêtre.
"
0xbcd,"XM16E1: Tenir en Obs. à la
1ère pers. & viser à l'épaule
avec la touche .
Basculer en mode de
tir avec la touche , fixez/
enlevez le silencieux à l'aide
de la touche  dans la fenêtre.
","XM16E1: Tenir en Obs. à la
1ère pers. & viser à l'épaule
avec la touche .
Basculer en mode de
tir avec la touche , fixez/
enlevez le silencieux à l'aide
de la touche  dans la fenêtre.
"
0xc95,"AK-47: Fusil d'assaut soviétique.
Tenir en Obs. à la 1ère personne
& viser à l'épaule avec la touche
. Basculez du mode
semi-automatique au mode
automatique à l'aide de la touche
 dans la fenêtre.
","AK-47: Fusil d'assaut soviétique.
Tenir en Obs. à la 1ère personne
& viser à l'épaule avec la touche
. Basculez du mode
semi-automatique au mode
automatique à l'aide de la touche
 dans la fenêtre.
"
0xd68,"M63:
Mitraillette légère américaine.
Appuyez légèrement sur la
touche  pour la tenir,
fermement pour tirer.
","M63:
Mitraillette légère américaine.
Appuyez légèrement sur la
touche  pour la tenir,
fermement pour tirer.
"
0xddd,"M37: Fusil à pompe de calibre
12. Appuyez sur la touche 
pour le tenir, relâchez pour
tirer. Permet de pulvériser
les ennemis.
","M37: Fusil à pompe de calibre
12. Appuyez sur la touche 
pour le tenir, relâchez pour
tirer. Permet de pulvériser
les ennemis.
"
0xe63,"SVD: Fusil sniper Dragunov.
Utilisez la visée avec la touche
. Appuyez sur la touche 
pour le tenir, relâchez pour
tirer. Ajustez la visée avec
la touche .
","SVD: Fusil sniper Dragunov.
Utilisez la visée avec la touche
. Appuyez sur la touche 
pour le tenir, relâchez pour
tirer. Ajustez la visée avec
la touche .
"
0xf0c,"Mosin-Nagant:
Fusil sniper tranquillisant.
Utilisez la visée avec la touche
. Appuyez sur la touche
 pour le tenir, relâchez pour
tirer. Ajustez la visée avec
la touche .
","Mosin-Nagant:
Fusil sniper tranquillisant.
Utilisez la visée avec la touche
. Appuyez sur la touche
 pour le tenir, relâchez pour
tirer. Ajustez la visée avec
la touche .
"
0xfc4,"RPG-7: Lance-roquettes
portable. Utilisez la visée avec
touche . Appuyez sur la
touche  pour le tenir,
relâchez pour tirer. Ne peut
être équipé en position couchée.
","RPG-7: Lance-roquettes
portable. Utilisez la visée avec
touche . Appuyez sur la
touche  pour le tenir,
relâchez pour tirer. Ne peut
être équipé en position couchée.
"
0x1076,"Torche: Brandir avec la touche
, appuyez plusieurs fois pour
la faire tourner. Allumer ou
éteindre de la touche .
","Torche: Brandir avec la touche
, appuyez plusieurs fois pour
la faire tourner. Allumer ou
éteindre de la touche .
"
0x10f0,"Grenade:
Appuyez sur la touche  pour
tenir, relâchez pour lâcher.
La force de pression de
la touche  détermine la
distance de tir.
","Grenade:
Appuyez sur la touche  pour
tenir, relâchez pour lâcher.
La force de pression de
la touche  détermine la
distance de tir.
"
0x117d,"Grenade au phosphore blanc:
Embrasez vos ennemis.
Appuyez sur la touche  pour
tenir, relâchez pour lancer. La
force de pression de la touche 
détermine la distance de tir.
","Grenade au phosphore blanc:
Embrasez vos ennemis.
Appuyez sur la touche  pour
tenir, relâchez pour lancer. La
force de pression de la touche 
détermine la distance de tir.
"
0x1232,"Grenade paralysante: Permet
de paralyser temporairement
les ennemis. Appuyez sur la
touche  pour viser, relâchez
pour lancer. La force de
pression de la touche 
détermine la distance de tir.
","Grenade paralysante: Permet
de paralyser temporairement
les ennemis. Appuyez sur la
touche  pour viser, relâchez
pour lancer. La force de
pression de la touche 
détermine la distance de tir.
"
